Scenario ,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Consumer transformation,6.458,6.405,6.344,6.325,6.369,6.421,6.491,6.581,6.754,7.017,7.232,7.493,7.802,8.115,8.534,8.914,9.230,9.582,9.881,10.163,10.438,10.654,10.839,10.968,11.081,11.179,11.389,11.553,11.646,11.711,11.883,11.949
System transformation,6.458,6.412,6.368,6.344,6.353,6.363,6.376,6.423,6.470,6.543,6.629,6.733,6.881,7.045,7.238,7.458,7.679,7.918,8.180,8.428,8.643,8.845,9.008,9.185,9.297,9.387,9.427,9.534,9.582,9.614,9.625,9.656
Steady progression,6.459,6.437,6.457,6.470,6.494,6.536,6.591,6.636,6.703,6.791,6.894,6.997,7.103,7.231,7.373,7.529,7.699,7.887,8.101,8.319,8.546,8.782,9.001,9.206,9.411,9.586,9.726,9.825,9.890,9.972,10.040,10.107
Leading the way,6.457,6.369,6.269,6.228,6.171,6.147,6.152,6.188,6.313,6.536,6.717,6.977,7.317,7.643,8.008,8.350,8.627,8.892,9.088,9.228,9.413,9.570,9.695,9.778,9.873,9.898,9.948,9.913,9.862,9.799,9.693,9.581
Net Zero Early,6.452,6.358,6.256,6.194,6.155,6.163,6.200,6.247,6.317,6.420,6.547,6.912,7.296,7.641,7.999,8.359,8.770,9.150,9.462,9.754,10.017,10.262,10.478,10.683,10.877,11.053,11.072,11.066,11.075,11.065,11.044,11.028
Consumer transformation with customer flexibility,6.457,6.403,6.339,6.315,6.353,6.393,6.445,6.514,6.656,6.875,7.041,7.247,7.491,7.737,8.100,8.421,8.684,8.984,9.233,9.480,9.724,9.916,10.083,10.206,10.312,10.407,10.614,10.775,10.868,10.934,11.106,11.175
System transformation with customer flexibility,6.458,6.411,6.366,6.339,6.345,6.350,6.355,6.391,6.426,6.477,6.537,6.612,6.723,6.848,7.000,7.173,7.346,7.535,7.742,7.941,8.114,8.276,8.409,8.560,8.656,8.739,8.778,8.885,8.932,8.963,8.977,9.011
Steady progression with customer flexibility,6.459,6.436,6.456,6.468,6.491,6.531,6.581,6.621,6.679,6.751,6.834,6.916,6.998,7.099,7.214,7.340,7.476,7.627,7.797,7.973,8.155,8.348,8.527,8.696,8.865,9.010,9.128,9.214,9.272,9.345,9.405,9.466
Leading The Way with customer flexibility,6.456,6.367,6.264,6.218,6.155,6.120,6.107,6.121,6.215,6.391,6.516,6.711,6.976,7.231,7.532,7.810,8.034,8.254,8.413,8.534,8.705,8.862,8.991,9.077,9.179,9.214,9.273,9.251,9.215,9.168,9.085,8.997
Net Zero Early with customer flexibility,6.452,6.358,6.256,6.194,6.131,6.117,6.112,6.117,6.135,6.175,6.267,6.587,6.929,7.235,7.553,7.875,8.236,8.575,8.858,9.126,9.369,9.596,9.802,9.998,10.186,10.358,10.374,10.367,10.376,10.368,10.348,10.334
