PseudoPrimary,LAD11CD,Supply Point X Coordinates,Supply Point Y Coordinates,Post Code of Supply Point,Supply Point or Grid Supply Point,LA
Barnsley Direct to Supply Points,E08000016,431899,408615,S75 1LR,Barugh 132/66kV,Barnsley
Barnsley Direct to Supply Points,E08000016,436575,405894,S70 3ET,Hunningley,Barnsley
Barnsley Direct to Supply Points,E08000016,426274,400012,S36 8WR,Hunshelf,Barnsley
Bradford Direct to Supply Points,E08000032,410571,439667,BD16 2RD,Bingley 132/33kV,Bradford
Bradford Direct to Supply Points,E08000032,416379,434045,BD1 4RF,Bradford,Bradford
Bradford Direct to Supply Points,E08000032,408895,434868,BD13 2LX,BRADFORD WEST,Bradford
Bradford Direct to Supply Points,E08000032,413929,433281,BD7 2NB,Girlington,Bradford
Bradford Direct to Supply Points,E08000032,406280,440967,BD21 5AJ,Keighley,Bradford
Bradford Direct to Supply Points,E08000032,405115,445895,BD20 0ND,Silsden,Bradford
Bradford Direct to Supply Points,E08000032,416576,430096,BD6 1YA,Staygate,Bradford
Calderdale Direct to Supply Points,E08000033,415423,422538,HD6 1PZ,Brighouse 132/33kV,Calderdale
Calderdale Direct to Supply Points,E08000033,411789,422062,HX5 9HF,ELLAND,Calderdale
Calderdale Direct to Supply Points,E08000033,409452,425547,HX1 1XB,Halifax 132/33kV,Calderdale
Calderdale Direct to Supply Points,E08000033,408320,428262,HX2 9AY,Holmfield,Calderdale
Calderdale Direct to Supply Points,E08000033,405085,423608,HX6 1EL,Sowerby Bridge 132/33kV,Calderdale
County Durham Direct to Supply Points,E06000047,417300,550633,DH9 7XW,Annfield,County Durham
County Durham Direct to Supply Points,E06000047,438560,545872,SR7 9RN,Hawthorn Pit Grid,County Durham
County Durham Direct to Supply Points,E06000047,426342,545048,DH1 5FF,Potter House,County Durham
County Durham Direct to Supply Points,E06000047,428821,534510,DH6 5LJ,Spennymoor,County Durham
County Durham Direct to Supply Points,E06000047,419280,530982,DL14 7RJ,Toronto,County Durham
Darlington Direct to Supply Points,E06000005,429433,514791,DL1  1SW,Darlington 132/6kV,Darlington
Darlington Direct to Supply Points,E06000005,429854,514626,DL1 1HG,Darlington Central,Darlington
Darlington Direct to Supply Points,E06000005,428464,517923,DL3 0XE,Darlington North,Darlington
Doncaster Direct to Supply Points,E08000017,456636,403618,DN5 8UX,Doncaster B/Thorpe Marsh,Doncaster
Doncaster Direct to Supply Points,E08000017,457191,403620,DN1 1RE,Doncaster Central,Doncaster
Doncaster Direct to Supply Points,E08000017,458863,400802,DN4 8DB,Mallard Way,Doncaster
East Riding of Yorkshire Direct to Supply Points,E06000011,504395,437245,HU17 0RW,Beverley 132/33kV,East Riding of Yorkshire
East Riding of Yorkshire Direct to Supply Points,E06000011,504569,435041,HU16 5SB,CREYKE BECK,East Riding of Yorkshire
East Riding of Yorkshire Direct to Supply Points,E06000011,503897,457092,YO25 5NW,Driffield/Beverley Group,East Riding of Yorkshire
East Riding of Yorkshire Direct to Supply Points,E06000011,501511,426270,HU13 0FA,Hull West,East Riding of Yorkshire
East Riding of Yorkshire Direct to Supply Points,E06000011,516302,428839,HU12 8EY,Saltend 132/33kV,East Riding of Yorkshire
East Riding of Yorkshire Direct to Supply Points,E06000011,516307,428801,HU12 8EY,SALTEND NORTH,East Riding of Yorkshire
Gateshead Direct to Supply Points,E08000037,412189,560513,NE40 4JP,Coalburns,Gateshead
Gateshead Direct to Supply Points,E08000037,421813,562855,NE11 9DH,Dunston,Gateshead
Gateshead Direct to Supply Points,E08000037,426050,557228,DH3 1RQ,Ravensworth,Gateshead
Gateshead Direct to Supply Points,E08000037,417213,564454,NE21 4SN,STELLA SOUTH,Gateshead
Hambleton Direct to Supply Points,E07000164,450565,473758,YO61 4PN,Husthwaite,Hambleton
Hambleton Direct to Supply Points,E07000164,428797,492550,DL7 0RL,Leeming Bar/Skeeby,Hambleton
Harrogate Direct to Supply Points,E07000165,429330,456210,HG1  2BN,Harrogate 132/11kV,Harrogate
Harrogate Direct to Supply Points,E07000165,429330,456210,HG1 2LA,Harrogate 132/33kV,Harrogate
Harrogate Direct to Supply Points,E07000165,433589,459577,HG5 9JB,KNARESBOROUGH,Harrogate
Harrogate Direct to Supply Points,E07000165,431336,464438,HG3  3PS,Wormald Green 132/11kV,Harrogate
Harrogate Direct to Supply Points,E07000165,431336,464438,HG3  3PS,Wormald Green 132/33kV,Harrogate
Hartlepool Direct to Supply Points,E06000001,451261,526154,TS25 2DD,Greatham,Hartlepool
Hartlepool Direct to Supply Points,E06000001,445788,534359,TS27 3BG,Hartmoor,Hartlepool
"Kingston upon Hull, City of Direct to Supply Points",E06000010,511739,433935,HU7 4ZN,Bransholme,"Kingston upon Hull, City of"
"Kingston upon Hull, City of Direct to Supply Points",E06000010,510410,430177,HU8 8AQ,Cornwall Street,"Kingston upon Hull, City of"
"Kingston upon Hull, City of Direct to Supply Points",E06000010,515174,429445,HU9 5NL,Hull East 132/33kV,"Kingston upon Hull, City of"
"Kingston upon Hull, City of Direct to Supply Points",E06000010,507035,427518,HU3 5JA,Hull South,"Kingston upon Hull, City of"
"Kingston upon Hull, City of Direct to Supply Points",E06000010,509228,430867,HU5 1BS,Sculcoates A,"Kingston upon Hull, City of"
Kirklees Direct to Supply Points,E08000034,421199,423938,WF16 9LU,Heckmondwike,Kirklees
Kirklees Direct to Supply Points,E08000034,411471,417615,HD3 3NY,Lindley,Kirklees
Kirklees Direct to Supply Points,E08000034,415144,417197,HD1 6SE,Saint Andrews Road 132/33kV,Kirklees
Kirklees Direct to Supply Points,E08000034,422987,420182,WF13 3JQ,Thornhill 132kV,Kirklees
Leeds Direct to Supply Points,E08000035,427516,431141,LS12 6NJ,Beeston Royds 132/33kV,Leeds
Leeds Direct to Supply Points,E08000035,444341,441925,LS24 9NT,Bramham,Leeds
Leeds Direct to Supply Points,E08000035,426638,434447,LS4 2AL,KIRKSTALL B,Leeds
Leeds Direct to Supply Points,E08000035,425410,437843,LS18 4EL,Kirkstall C 2/5,Leeds
Leeds Direct to Supply Points,E08000035,425410,437843,LS18 4EL,Kirkstall C/Ring Road Horsforth,Leeds
Leeds Direct to Supply Points,E08000035,432406,434042,LS9 6ED,Leeds East,Leeds
Leeds Direct to Supply Points,E08000035,430244,435387,LS7 2AU,Leeds North,Leeds
Leeds Direct to Supply Points,E08000035,431507,431659,LS10 1RH,Low Road,Leeds
Leeds Direct to Supply Points,E08000035,418050,443293,LS29 6BP,Menston,Leeds
Leeds Direct to Supply Points,E08000035,422154,436195,LS13 1PZ,Rodley,Leeds
Leeds Direct to Supply Points,E08000035,433451,431474,LS9 0PJ,SKELTON GRANGE,Leeds
Leeds Direct to Supply Points,E08000035,433402,429988,LS10 1AX,Stourton 132/11kV,Leeds
Leeds Direct to Supply Points,E08000035,435688,437650,LS14 2DG,Whinmoor,Leeds
Newcastle upon Tyne Direct to Supply Points,E08000021,424127,564537,NE4 6DB,Barrack Road,Newcastle upon Tyne
Newcastle upon Tyne Direct to Supply Points,E08000021,417753,566037,NE15 9SD,Blucher,Newcastle upon Tyne
Newcastle upon Tyne Direct to Supply Points,E08000021,425335,568422,NE3 1XL,Gosforth,Newcastle upon Tyne
Newcastle upon Tyne Direct to Supply Points,E08000021,418189,564232,NE15 8SF,Newburn Haugh,Newcastle upon Tyne
Newcastle upon Tyne Direct to Supply Points,E08000021,417738,564838,NE15 9AA,STELLA NORTH,Newcastle upon Tyne
North East Lincolnshire Direct to Supply Points,E06000012,522541,409304,DN37 9NU,GRIMSBY WEST,North East Lincolnshire
North East Lincolnshire Direct to Supply Points,E06000012,529405,406147,DN36 4AW,Humberston,North East Lincolnshire
North East Lincolnshire Direct to Supply Points,E06000012,519671,414677,DN40 1QT,Immingham,North East Lincolnshire
North East Lincolnshire Direct to Supply Points,E06000012,527219,409099,DN32 0LW,Moss Road,North East Lincolnshire
North East Lincolnshire Direct to Supply Points,E06000012,521580,399575,DN37 0SW,Wold Newton,North East Lincolnshire
North East Lincolnshire Direct to Supply Points,E06000012,525335,409323,DN34 4JJ,Yarborough Road 132/33kV,North East Lincolnshire
North Lincolnshire Direct to Supply Points,E06000013,482816,411914,DN17 3EW,KEADBY,North Lincolnshire
North Lincolnshire Direct to Supply Points,E06000013,493096,411979,DN16 1XP,Santon,North Lincolnshire
North Lincolnshire Direct to Supply Points,E06000013,489335,412605,DN15 8GN,Scunthorpe North,North Lincolnshire
North Lincolnshire Direct to Supply Points,E06000013,491294,409631,DN16 1BD,Scunthorpe South,North Lincolnshire
North Tyneside Direct to Supply Points,E08000022,433462,570254,NE29 8EY,Chirton Grange,North Tyneside
North Tyneside Direct to Supply Points,E08000022,433265,567555,NE29 7FN,Flatworth,North Tyneside
North Tyneside Direct to Supply Points,E08000022,432105,570132,NE27 0LP,TYNEMOUTH,North Tyneside
Northumberland Direct to Supply Points,E06000057,430270,583106,NE24 1QJ,BLYTH 132kV,Northumberland
Northumberland Direct to Supply Points,E06000057,430271,583107,NE24 1QP,Blyth 66kV,Northumberland
Northumberland Direct to Supply Points,E06000057,389546,568613,NE47 5DY,Fourstones,Northumberland
Northumberland Direct to Supply Points,E06000057,425141,592736,NE61 5DA,Linton,Northumberland
Northumberland Direct to Supply Points,E06000057,364187,568300,CA8 7EW,SPADEADAM,Northumberland
Redcar and Cleveland Direct to Supply Points,E06000003,456189,519507,TS6 7QR,Lackenby,Redcar and Cleveland
Rotherham Direct to Supply Points,E08000018,441698,393050,S61 1TF,Park Street,Rotherham
Rotherham Direct to Supply Points,E08000018,442855,393468,S60  1RR,Rawmarsh Road 1_2,Rotherham
Rotherham Direct to Supply Points,E08000018,442855,393468,S60  1RR,Rawmarsh Road 3_4,Rotherham
Rotherham Direct to Supply Points,E08000018,440798,390769,S60 5AE,TEMPLEBOROUGH 275/33KV,Rotherham
Rotherham Direct to Supply Points,E08000018,448886,390036,S66 9JD,Thurcroft,Rotherham
Rotherham Direct to Supply Points,E08000018,441300,400676,S63 6EZ,West Melton,Rotherham
Rotherham Direct to Supply Points,E08000018,441300,400675,S63 6HB,WEST MELTON / THORPE MARSH,Rotherham
Rotherham Direct to Supply Points,E08000018,441300,400675,S63 6HB,WEST MELTON SECTION 3,Rotherham
Ryedale Direct to Supply Points,E07000167,479724,473431,YO17 6RD,Malton Grid,Ryedale
Scarborough Direct to Supply Points,E07000168,503373,486618,YO11 2YH,Scarborough Grid,Scarborough
Selby Direct to Supply Points,E07000169,466011,426352,YO8 8PJ,Camblesforth,Selby
Selby Direct to Supply Points,E07000169,466548,426704,YO8 6PQ,DRAX,Selby
Selby Direct to Supply Points,E07000169,463930,432836,YO8 5HY,Osgodby 3/4,Selby
Sheffield Direct to Supply Points,E08000019,438185,388383,S9 3FA,Attercliffe,Sheffield
Sheffield Direct to Supply Points,E08000019,439820,391500,S9 1DA,Blackburn Meadows B,Sheffield
Sheffield Direct to Supply Points,E08000019,436084,381626,S8 8JA,Jordanthorpe,Sheffield
Sheffield Direct to Supply Points,E08000019,434229,389764,S6 2ET,Neepsend,Sheffield
Sheffield Direct to Supply Points,E08000019,435322,383705,S8 9BH,Norton Lees,Sheffield
Sheffield Direct to Supply Points,E08000019,437149,389524,S4  8LL,PITSMOOR 1/2,Sheffield
Sheffield Direct to Supply Points,E08000019,437032,389501,S4 8LL,Pitsmoor 3/4,Sheffield
Sheffield Direct to Supply Points,E08000019,434788,386570,S3 7WB,Sheffield City,Sheffield
Sheffield Direct to Supply Points,E08000019,440799,390769,S9 1WP,Templeborough 275/33KV,Sheffield
Sheffield Direct to Supply Points,E08000019,439036,391150,S9 1EH,Wincobank,Sheffield
South Tyneside Direct to Supply Points,E08000023,435311,564439,NE34 9BT,South Shields,South Tyneside
South Tyneside Direct to Supply Points,E08000023,433958,560733,NE36 0BG,West Boldon,South Tyneside
Stockton-on-Tees Direct to Supply Points,E06000004,444199,517625,TS18 3HP,Bowesfield,Stockton-on-Tees
Stockton-on-Tees Direct to Supply Points,E06000004,447891,521875,TS23 1PY,North Tees,Stockton-on-Tees
Stockton-on-Tees Direct to Supply Points,E06000004,441279,522087,TS21 1EG,NORTON,Stockton-on-Tees
Stockton-on-Tees Direct to Supply Points,E06000004,441280,522087,TS21 1EG,Norton 132/11kV,Stockton-on-Tees
Stockton-on-Tees Direct to Supply Points,E06000004,449286,523652,TS23 4EX,SALTHOLME,Stockton-on-Tees
Stockton-on-Tees Direct to Supply Points,E06000004,451659,523832,TS2 1FB,Seal Sands,Stockton-on-Tees
Sunderland Direct to Supply Points,E08000024,429591,554480,NE38 9BZ,Harraton,Sunderland
Sunderland Direct to Supply Points,E08000024,434946,554334,SR4 9NR,Offerton,Sunderland
Wakefield Direct to Supply Points,E08000036,440744,421252,WF7 6HE,Featherstone,Wakefield
Wakefield Direct to Supply Points,E08000036,448156,424914,WF11 8PR,Ferrybridge A,Wakefield
Wakefield Direct to Supply Points,E08000036,448216,424964,WF11 8RR,FERRYBRIDGE B,Wakefield
Wakefield Direct to Supply Points,E08000036,447808,425060,WF11 8SB,Kirkhaw Lane,Wakefield
Wakefield Direct to Supply Points,E08000036,432450,418956,WF2 7AL,Wakefield Monckton Road,Wakefield
Wakefield Direct to Supply Points,E08000036,433144,423386,WF1 3HN,Wakefield North,Wakefield
West Lindsey Direct to Supply Points,E07000142,485552,393953,DN21 3NS,Blyton,West Lindsey
York Direct to Supply Points,E06000014,461795,451862,YO31 0YB,Melrosegate,York
York Direct to Supply Points,E06000014,464107,451577,YO19 5UP,OSBALDWICK,York
York Direct to Supply Points,E06000014,457043,453520,YO26 6RJ,Poppleton,York
